iter	Accuracy	Logloss
0	0.6516043302	0.6815504582
1	0.6608029417	0.6693509149
2	0.6601348394	0.6601034115
3	0.669808888	0.6497484297
4	0.6689561484	0.6442594349
5	0.6688388455	0.639865195
6	0.6695742822	0.6342774778
7	0.6723585878	0.6289231196
8	0.673295045	0.6249844697
9	0.6726374279	0.6205164398
10	0.6753073795	0.61848406
11	0.6735915788	0.6162746781
12	0.6775118876	0.6116731177
13	0.6793685827	0.608405953
14	0.6783749486	0.606903524
15	0.6773975336	0.6039983052
16	0.6791926284	0.6020623971
17	0.6786187289	0.6006725071
18	0.6803374785	0.5993550363
19	0.681053747	0.5976863546
20	0.6836193383	0.5954648823
21	0.6829074932	0.5949546331
22	0.6824907075	0.59339393
23	0.6835621614	0.5912002842
24	0.6855877662	0.5892318447
25	0.684733552	0.5884107231
26	0.6855921896	0.5869707214
27	0.6861000653	0.5867462788
28	0.6855261657	0.5860413388
29	0.6858182762	0.584639678
30	0.6866783882	0.5833188791
31	0.6873872844	0.5827059481
32	0.6872463898	0.5817225849
33	0.6874621551	0.5812167248
34	0.687607473	0.5809465957
35	0.687607473	0.5804524448
36	0.6877513165	0.5798943397
37	0.6875326023	0.5793505954
38	0.6883897654	0.5787319699
39	0.6887523231	0.5783518824
40	0.6893922465	0.5773049745
41	0.689966146	0.5769399665
42	0.6901892836	0.576366526
43	0.6905474179	0.5761022595
44	0.6914779772	0.5753510995
45	0.691689319	0.575134056
46	0.6916173973	0.5750018082
47	0.6929075653	0.574603671
48	0.692694749	0.574285305
49	0.6932642251	0.5739897378
50	0.6932656996	0.5736399909
51	0.6937676773	0.5729644788
52	0.6939100464	0.5727574615
53	0.6943445258	0.5723870956
54	0.6942726041	0.5722860102
55	0.6941992078	0.5718317006
56	0.6946292639	0.5714737137
57	0.6944134986	0.5709548736
58	0.6947026601	0.5706403617
59	0.695423352	0.5697424434
60	0.6952134847	0.5693579336
61	0.696004624	0.5690641527
62	0.6959297532	0.5688026825
63	0.6972213958	0.568524563
64	0.6967208925	0.5683342032
65	0.697007105	0.5682304744
66	0.6977997187	0.5679195042
67	0.697585428	0.5676549437
68	0.6975839535	0.5673574896
69	0.6976558752	0.567290308
70	0.6969440301	0.5670464959
71	0.6969440301	0.5668989183
72	0.6976617731	0.5663801165
73	0.6978790129	0.5661217946
74	0.6981681743	0.5658676343
75	0.6983061199	0.5654248066
76	0.6977351694	0.5653492284
77	0.6991706554	0.564839421
78	0.6993864206	0.5645020157
79	0.7006736397	0.5640677985
80	0.700744087	0.5638664331
81	0.7009628012	0.56352495
82	0.701464779	0.5631156108
83	0.701891886	0.5628987587
84	0.7018229132	0.5627636143
85	0.7022500203	0.5623923351
86	0.7019682312	0.5617229
87	0.7024687345	0.5612748504
88	0.702609629	0.5609827655
89	0.7033978193	0.5605713599
90	0.704825933	0.5598460205
91	0.7046101677	0.5594591
92	0.705401307	0.5588541615
93	0.7055392526	0.5583754849
94	0.7050387493	0.5579584021
95	0.7057520688	0.5574228384
96	0.705970783	0.5569921247
97	0.7061850738	0.556741646
98	0.7066136554	0.556434202
99	0.7066077574	0.5561369834
100	0.7072535787	0.5558822129
101	0.7093230902	0.5554544392
102	0.7094654592	0.5553031072
103	0.7096856479	0.5547947159
104	0.7104033909	0.5542017116
105	0.7116172138	0.5536461253
106	0.7110403653	0.5531307849
107	0.7129044329	0.5526875924
108	0.7131157747	0.552393164
109	0.7132566692	0.5519992522
110	0.7131891709	0.5512377498
111	0.7133374378	0.5507143464
112	0.7133403868	0.5503246173
113	0.7139113373	0.5501193998
114	0.7141241536	0.5495713811
115	0.7141241536	0.5494548631
116	0.7143413934	0.5487747732
117	0.7143413934	0.5482057974
118	0.7146995276	0.5479443465
119	0.7150576619	0.5469993851
120	0.7158429032	0.5466929526
121	0.7159162995	0.5463461254
122	0.7162714848	0.5459807121
