iter	Passed	Remaining
0	38	38173
1	71	35693
2	105	35130
3	139	34830
4	172	34394
5	211	34972
6	248	35185
7	283	35193
8	317	34918
9	356	35300
10	393	35408
11	431	35557
12	474	36041
13	512	36091
14	548	36043
15	588	36203
16	628	36323
17	663	36197
18	702	36276
19	744	36473
20	790	36836
21	891	39613
22	941	39979
23	988	40188
24	1030	40180
25	1068	40041
26	1109	39968
27	1152	39997
28	1223	40982
29	1287	41621
30	1321	41310
31	1358	41079
32	1399	41020
33	1435	40773
34	1468	40478
35	1499	40156
36	1546	40248
37	1601	40549
38	1650	40669
39	1698	40762
40	1739	40690
41	1776	40518
42	1808	40252
43	1838	39952
44	1870	39696
45	1900	39407
46	1935	39241
47	1968	39051
48	2006	38935
49	2034	38651
50	2065	38426
51	2096	38225
52	2128	38038
53	2160	37845
54	2193	37693
55	2230	37600
56	2266	37488
57	2301	37381
58	2339	37305
59	2376	37238
60	2412	37143
61	2452	37107
62	2489	37022
63	2524	36926
64	2560	36827
65	2594	36717
66	2629	36620
67	2663	36508
68	2694	36356
69	2724	36200
70	2753	36033
71	2784	35887
72	2814	35746
73	2848	35640
74	2882	35551
75	2915	35446
76	2948	35337
77	2983	35269
78	3020	35208
79	3050	35080
80	3079	34939
81	3108	34799
82	3140	34695
83	3174	34615
84	3207	34528
85	3242	34461
86	3279	34411
87	3323	34446
88	3398	34790
89	3431	34693
90	3467	34639
91	3501	34561
92	3539	34516
93	3581	34517
94	3618	34467
95	3658	34448
96	3695	34401
97	3732	34357
98	3768	34297
99	3800	34202
100	3828	34077
101	3862	34005
102	3894	33915
103	3928	33845
104	3962	33777
105	3993	33684
106	4026	33603
107	4060	33539
108	4096	33485
109	4129	33415
110	4163	33347
111	4197	33278
112	4228	33188
113	4257	33092
114	4293	33037
115	4329	32997
116	4368	32966
117	4404	32924
118	4437	32853
119	4470	32784
120	4506	32740
121	4538	32664
122	4572	32603
123	4604	32531
124	4637	32459
125	4670	32398
126	4702	32326
127	4734	32253
128	4766	32180
129	4797	32103
130	4832	32055
131	4868	32014
132	4908	31995
133	4940	31927
134	4970	31846
135	5002	31780
136	5032	31699
137	5062	31624
138	5092	31545
139	5123	31471
140	5156	31413
141	5192	31375
142	5228	31334
143	5267	31309
144	5299	31249
145	5330	31181
146	5361	31112
147	5391	31038
148	5423	30975
149	5457	30923
150	5490	30868
151	5557	31002
152	5609	31056
153	5644	31008
154	5682	30977
155	5722	30960
156	5762	30943
157	5797	30894
158	5829	30834
159	5953	31258
160	6031	31429
161	6072	31413
162	6107	31361
163	6141	31307
164	6173	31241
165	6201	31159
166	6233	31090
167	6260	31005
168	6291	30936
169	6322	30867
170	6352	30797
